Carree,123456,798,776643
Merrie,844831,891,774921
Caressa,968661,604,777106
Gaylene,276081,934,884607
Gavrielle,554009,575,520512
Aryn,725872,893,216753
Dulce,765843,761,486586
Aurelie,792064,551,987200
Nelle,186391,938,296914
Jere,160830,513,846318
Atlanta,682597,905,477472
Luci,477092,555,996621
Annaliese,264101,822,326174
Jasmina,929714,600,588860
Anica,273309,739,702166
Caritta,663776,899,624523
Maridel,179542,684,676950
Adele,306597,614,568858
Deloria,902732,576,823455
Collen,847422,533,225981
Elora,335199,501,680919
Averyl,968894,578,215209
Aubrie,703123,723,241975
Glynnis,972370,870,877459
Alisha,903726,799,626104
